fips,county,state,deaths,cases
1001.0,Autauga,Alabama,162,4908
1003.0,Baldwin,Alabama,296,11079
1005.0,Barbour,Alabama,35,3506
1007.0,Bibb,Alabama,26,2449
1009.0,Blount,Alabama,17,2212
1011.0,Bullock,Alabama,56,2852
1013.0,Butler,Alabama,296,9243
1015.0,Calhoun,Alabama,139,6295
1017.0,Chambers,Alabama,1100,17076
1019.0,Cherokee,Alabama,29,1199
1021.0,Chilton,Alabama,42,3668
1023.0,Choctaw,Alabama,109,3776
1025.0,Clarke,Alabama,64,3323
1027.0,Clay,Alabama,61,1303
1029.0,Cleburne,Alabama,45,787
1031.0,Coffee,Alabama,25,7235
1033.0,Colbert,Alabama,98,3787
1035.0,Conecuh,Alabama,13,886
1037.0,Coosa,Alabama,51,1673
1039.0,Covington,Alabama,42,2544
1041.0,Crenshaw,Alabama,44,1834
1043.0,Cullman,Alabama,19,3756
1045.0,Dale,Alabama,0,2605
1047.0,Dallas,Alabama,135,5775
1049.0,DeKalb,Alabama,110,7126
1051.0,Elmore,Alabama,199,8561
1053.0,Escambia,Alabama,104,1764
1055.0,Etowah,Alabama,526,9249
1057.0,Fayette,Alabama,0,425
1059.0,Franklin,Alabama,129,11796
1061.0,Geneva,Alabama,0,881
1063.0,Greene,Alabama,113,3378
1065.0,Hale,Alabama,135,3966
1067.0,Henry,Alabama,50,1916
1069.0,Houston,Alabama,191,6323
1071.0,Jackson,Alabama,126,3084
1073.0,Jefferson,Alabama,3138,65774
1075.0,Lamar,Alabama,0,770
1077.0,Lauderdale,Alabama,157,4455
1079.0,Lawrence,Alabama,0,1343
1081.0,Lee,Alabama,1412,23530
1083.0,Limestone,Alabama,0,3492
1085.0,Lowndes,Alabama,266,5544
1087.0,Macon,Alabama,117,2439
1089.0,Madison,Alabama,231,15263
1091.0,Marengo,Alabama,210,4404
1093.0,Marion,Alabama,411,4979
1095.0,Marshall,Alabama,365,23541
1097.0,Mobile,Alabama,3897,73289
1099.0,Monroe,Alabama,77,996
1101.0,Montgomery,Alabama,866,36910
1103.0,Morgan,Alabama,22,6110
1105.0,Perry,Alabama,0,980
1107.0,Pickens,Alabama,110,3551
1109.0,Pike,Alabama,0,5083
1111.0,Randolph,Alabama,301,4866
1113.0,Russell,Alabama,0,4550
1115.0,St. Clair,Alabama,28,4631
1117.0,Shelby,Alabama,781,20945
1119.0,Sumter,Alabama,170,5684
1121.0,Talladega,Alabama,108,3942
1123.0,Tallapoosa,Alabama,1909,16338
1125.0,Tuscaloosa,Alabama,277,18125
1127.0,Walker,Alabama,20,8391
1129.0,Washington,Alabama,170,2348
1131.0,Wilcox,Alabama,187,4421
1133.0,Winston,Alabama,6,1699
2020.0,Anchorage,Alaska,249,11123
2050.0,Bethel Census Area,Alaska,0,82
2060.0,Bristol Bay Borough,Alaska,0,4
2070.0,Dillingham Census Area,Alaska,0,3
2090.0,Fairbanks North Star Borough,Alaska,113,5143
2110.0,Juneau City and Borough,Alaska,0,1613
2122.0,Kenai Peninsula Borough,Alaska,28,1413
2130.0,Ketchikan Gateway Borough,Alaska,0,1095
2150.0,Kodiak Island Borough,Alaska,0,48
2170.0,Matanuska-Susitna Borough,Alaska,50,1170
2180.0,Nome Census Area,Alaska,0,72
2185.0,North Slope Borough,Alaska,0,6
2188.0,Northwest Arctic Borough,Alaska,0,25
2195.0,Petersburg Borough,Alaska,0,139
2198.0,Prince of Wales-Hyder Census Area,Alaska,0,103
2220.0,Sitka City and Borough,Alaska,0,46
2240.0,Southeast Fairbanks Census Area,Alaska,0,109
2261.0,Valdez-Cordova Census Area,Alaska,0,39
2290.0,Yukon-Koyukuk Census Area,Alaska,0,62
4001.0,Apache,Arizona,720,37037
4003.0,Cochise,Arizona,38,2333
4005.0,Coconino,Arizona,2847,37073
4007.0,Gila,Arizona,34,903
4009.0,Graham,Arizona,12,867
4011.0,Greenlee,Arizona,2,147
4012.0,La Paz,Arizona,85,1438
4013.0,Maricopa,Arizona,12344,307385
4015.0,Mohave,Arizona,1030,9859
4017.0,Navajo,Arizona,1776,54771
4019.0,Pima,Arizona,6254,83247
4021.0,Pinal,Arizona,1070,28958
4023.0,Santa Cruz,Arizona,1,4497
4025.0,Yavapai,Arizona,181,9514
4027.0,Yuma,Arizona,212,15987
5001.0,Arkansas,Arkansas,0,150
5003.0,Ashley,Arkansas,0,891
5005.0,Baxter,Arkansas,0,355
5007.0,Benton,Arkansas,9,9744
5009.0,Boone,Arkansas,0,278
5011.0,Bradley,Arkansas,45,708
5015.0,Carroll,Arkansas,5,427
5017.0,Chicot,Arkansas,0,566
5019.0,Clark,Arkansas,0,2103
5021.0,Clay,Arkansas,0,151
5023.0,Cleburne,Arkansas,262,4958
5025.0,Cleveland,Arkansas,0,786
5027.0,Columbia,Arkansas,64,729
5029.0,Conway,Arkansas,67,648
5031.0,Craighead,Arkansas,11,6021
5033.0,Crawford,Arkansas,0,508
5035.0,Crittenden,Arkansas,338,12004
5037.0,Cross,Arkansas,0,1477
5039.0,Dallas,Arkansas,0,62
5041.0,Desha,Arkansas,0,856
5043.0,Drew,Arkansas,54,848
5045.0,Faulkner,Arkansas,134,4999
5047.0,Franklin,Arkansas,0,119
5049.0,Fulton,Arkansas,0,146
5051.0,Garland,Arkansas,28,6998
5053.0,Grant,Arkansas,0,821
5055.0,Greene,Arkansas,0,1438
5057.0,Hempstead,Arkansas,55,468
5059.0,Hot Spring,Arkansas,0,1168
5061.0,Howard,Arkansas,1,817
5063.0,Independence,Arkansas,0,954
5065.0,Izard,Arkansas,1,486
5067.0,Jackson,Arkansas,0,58
5069.0,Jefferson,Arkansas,833,16074
5071.0,Johnson,Arkansas,0,1755
5073.0,Lafayette,Arkansas,38,403
5075.0,Lawrence,Arkansas,171,3099
5077.0,Lee,Arkansas,50,434
5079.0,Lincoln,Arkansas,233,38730
5081.0,Little River,Arkansas,0,62
5083.0,Logan,Arkansas,1,189
5085.0,Lonoke,Arkansas,0,2341
5087.0,Madison,Arkansas,0,189
5089.0,Marion,Arkansas,0,57
5091.0,Miller,Arkansas,42,2035
5093.0,Mississippi,Arkansas,24,2114
5095.0,Monroe,Arkansas,0,228
5097.0,Montgomery,Arkansas,0,42
5099.0,Nevada,Arkansas,0,154
5101.0,Newton,Arkansas,0,153
5103.0,Ouachita,Arkansas,0,430
5105.0,Perry,Arkansas,0,450
5107.0,Phillips,Arkansas,52,360
5109.0,Pike,Arkansas,0,206
5111.0,Poinsett,Arkansas,69,1249
5113.0,Polk,Arkansas,0,545
5115.0,Pope,Arkansas,13,3641
5117.0,Prairie,Arkansas,0,121
5119.0,Pulaski,Arkansas,1176,33791
5121.0,Randolph,Arkansas,0,1065
5123.0,St. Francis,Arkansas,12,14336
5125.0,Saline,Arkansas,59,4035
5127.0,Scott,Arkansas,0,64
5129.0,Searcy,Arkansas,0,411
5131.0,Sebastian,Arkansas,0,1001
5133.0,Sevier,Arkansas,43,2445
5135.0,Sharp,Arkansas,50,1052
5137.0,Stone,Arkansas,0,494
5139.0,Union,Arkansas,132,4474
5141.0,Van Buren,Arkansas,120,1800
5143.0,Washington,Arkansas,177,8568
5145.0,White,Arkansas,44,2139
5147.0,Woodruff,Arkansas,0,73
5149.0,Yell,Arkansas,30,1788
6001.0,Alameda,California,3788,115424
6003.0,Alpine,California,0,108
6005.0,Amador,California,0,444
6007.0,Butte,California,2,1409
6009.0,Calaveras,California,0,746
6011.0,Colusa,California,0,217
6013.0,Contra Costa,California,1577,58751
6015.0,Del Norte,California,0,640
6017.0,El Dorado,California,0,3328
6019.0,Fresno,California,761,48942
6021.0,Glenn,California,0,440
6023.0,Humboldt,California,33,4190
6025.0,Imperial,California,647,37042
6027.0,Inyo,California,41,1150
6029.0,Kern,California,885,67390
6031.0,Kings,California,86,16522
6033.0,Lake,California,0,523
6035.0,Lassen,California,0,49
6037.0,Los Angeles,California,74905,1663886
6039.0,Madera,California,130,3718
6041.0,Marin,California,766,17322
6043.0,Mariposa,California,19,500
6045.0,Mendocino,California,0,814
6047.0,Merced,California,239,9210
6049.0,Modoc,California,0,2
6051.0,Mono,California,64,1790
6053.0,Monterey,California,354,15321
6055.0,Napa,California,148,4411
6057.0,Nevada,California,61,2512
6059.0,Orange,California,4037,193033
6061.0,Placer,California,489,10165
6063.0,Plumas,California,0,241
6065.0,Riverside,California,10635,261940
6067.0,Sacramento,California,2701,66042
6069.0,San Benito,California,139,3458
6071.0,San Bernardino,California,6349,153673
6073.0,San Diego,California,9754,260288
6075.0,San Francisco,California,1702,102851
6077.0,San Joaquin,California,1590,34990
6079.0,San Luis Obispo,California,60,12330
6081.0,San Mateo,California,3160,81401
6083.0,Santa Barbara,California,466,53168
6085.0,Santa Clara,California,6776,139399
6087.0,Santa Cruz,California,134,8734
6089.0,Shasta,California,230,1899
6091.0,Sierra,California,0,12
6093.0,Siskiyou,California,0,354
6095.0,Solano,California,552,19187
6097.0,Sonoma,California,193,18782
6099.0,Stanislaus,California,872,24589
6101.0,Sutter,California,121,1978
6103.0,Tehama,California,38,103
6105.0,Trinity,California,0,46
6107.0,Tulare,California,2600,55827
6109.0,Tuolumne,California,0,154
6111.0,Ventura,California,1215,38976
6113.0,Yolo,California,933,9562
6115.0,Yuba,California,59,1290
8001.0,Adams,Colorado,4188,109357
8003.0,Alamosa,Colorado,110,1609
8005.0,Arapahoe,Colorado,9628,161935
8007.0,Archuleta,Colorado,0,449
8009.0,Baca,Colorado,0,682
8011.0,Bent,Colorado,0,36
8013.0,Boulder,Colorado,2349,38112
8014.0,Broomfield,Colorado,791,9627
8015.0,Chaffee,Colorado,753,3531
8017.0,Cheyenne,Colorado,0,126
8019.0,Clear Creek,Colorado,43,849
8021.0,Conejos,Colorado,0,30
8023.0,Costilla,Colorado,0,224
8025.0,Crowley,Colorado,76,1362
8027.0,Custer,Colorado,0,123
8029.0,Delta,Colorado,56,2422
