Snohomish,171183,6808,48.0639,-122.0920
Cook,2614024,114268,42.1347,-87.7641
Orange,806607,22846,28.4727,-81.4169
Maricopa,307385,12345,33.3858,-112.3236
Los Angeles,1663886,74906,33.9716,-117.8911
Santa Clara,139399,6777,37.4340,-121.8921
Suffolk,2710362,108412,40.9330,-72.4047
San Francisco,102851,1704,37.7562,-122.4430
Dane,29973,1267,43.0540,-89.3334
San Diego,260288,9755,32.8439,-116.7585
Bexar,99225,2987,29.5545,-98.3404
Douglas,157255,3541,47.6480,-120.0707
Humboldt,7516,177,41.4900,-117.5323
Sacramento,66042,2702,38.5740,-121.2523
Solano,19187,553,38.1133,-122.2359
Spokane,24172,1432,47.4513,-117.1307
Salt Lake,172694,2193,40.4743,-111.9383
Marin,17322,767,38.2436,-122.9560
Napa,4411,149,38.5063,-122.4682
Sonoma,18782,194,38.7173,-122.9034
Washington,201903,9222,43.4204,-88.3443
King,406711,28536,47.4122,-122.4726
Alameda,115424,3789,37.6861,-121.7608
Hillsborough,155505,5690,27.7065,-82.4209
Manatee,38205,3375,27.5107,-82.7152
New York City,10246784,989120,27.5107,-82.7152
Unknown,639258,26685,27.5107,-82.7152
Placer,10165,490,39.2138,-120.8033
San Mateo,81401,3161,37.5860,-122.3669
Fulton,192377,8151,43.1028,-74.2661
Norfolk,343819,29334,36.8945,-76.2590
Grafton,3745,34,44.0364,-71.6895
Walla Walla,4409,51,46.1991,-118.9728
Contra Costa,58751,1578,37.9722,-122.0016
Wake,57865,1085,35.8366,-78.8348
Bergen,909260,65509,40.8247,-74.0613
Westchester,1749676,65307,40.9469,-73.7316
Fort Bend,70563,1680,29.5460,-95.8220
Chelan,8194,399,47.5175,-120.4671
Jefferson,705498,38375,47.9101,-122.7006
Santa Rosa,9885,452,30.7826,-87.2309
Montgomery,741049,43951,30.1811,-95.1550
Middlesex,1578473,95085,40.4489,-74.2495
Clark,314224,16169,45.9122,-122.4795
Washoe,58216,1996,40.6451,-119.3614
Nassau,2093871,118670,30.6580,-81.4504
Williamson,48952,1226,30.5130,-97.7382
Harris,437503,8280,29.8671,-95.0537
Pinal,28958,1071,33.1427,-111.7853
Yolo,9562,934,38.8926,-121.9741
Denver,203352,10583,39.7621,-104.8759
Eagle,34071,452,39.6386,-106.3608
El Paso,138605,5944,31.8110,-106.1643
Broward,314067,12009,26.1593,-80.1395
Lee,139713,6854,26.7123,-81.8684
Polk,156285,5209,45.7159,-92.3965
Honolulu,25030,545,21.4921,-157.8721
Marion,556192,25095,39.5119,-80.2514
Fayette,52643,1939,37.9504,-81.1666
Ramsey,59902,2725,48.1131,-98.8753
Camden,235166,10526,39.8969,-75.0890
Rockland,680229,20644,41.1213,-74.0685
Chatham,37244,1393,35.6239,-79.0768
Tulsa,37897,1958,35.8602,-95.9753
Delaware,276932,19067,42.4459,-74.9088
Wayne,1075291,104478,38.4026,-82.5821
Charleston,28740,445,32.7768,-80.2272
Kershaw,15686,608,34.4143,-80.3487
Davis,19566,135,40.7984,-92.4815
Pierce,96867,3254,46.9994,-122.3921
Fresno,48942,762,36.5399,-119.8450
Madera,3718,131,36.9640,-120.0803
Riverside,261940,10636,33.9797,-116.9694
Santa Cruz,13231,136,37.0555,-122.0118
District of Columbia,306722,14927,38.9047,-77.0163
Charlotte,16743,1674,26.9226,-82.3537
Okaloosa,9484,235,30.4127,-86.6588
Volusia,28872,1327,28.8815,-81.3240
Cobb,111177,5955,33.8660,-84.6839
Gwinnett,122038,4333,34.1354,-83.9763
Johnson,119067,7277,43.7100,-106.6371
Berkshire,28114,1976,42.6844,-73.1166
St. Louis,200590,13189,38.5242,-90.3365
Rockingham,67429,2351,42.8850,-70.8234
Saratoga,21779,169,42.9468,-73.6441
Jackson,113672,4789,44.2981,-90.8419
Klamath,2172,1,42.4419,-121.2716
Bennington,3058,57,42.8848,-73.2143
Fairfax,299784,10672,38.7773,-77.2633
Kittitas,2180,1,47.2507,-121.0989
Fairfield,691447,48795,41.1144,-73.4215
Cherokee,38688,1275,31.8968,-95.1520
Hendricks,46248,2945,39.8329,-86.3824
Harrison,31805,1631,39.2044,-80.4034
Harford,28351,1279,39.4861,-76.3908
Worcester,383443,21484,42.5438,-71.6147
Carver,4466,45,44.8634,-93.6586
Passaic,711586,33280,40.9628,-74.1844
Ulster,73544,1274,41.6655,-74.3912
Spartanburg,19370,623,34.6439,-81.8584
Davidson,202771,2436,35.8813,-80.0807
Shelby,224402,5972,31.9440,-94.2457
Kitsap,9527,108,47.5508,-122.6655
Pima,83247,6255,32.0596,-111.2865
Shasta,1899,231,40.8005,-121.9375
Arapahoe,161935,9629,39.5993,-105.0350
Larimer,23485,1076,40.8071,-105.5864
DeKalb,153839,3813,36.0045,-85.9779
Floyd,24086,1984,33.9835,-101.3367
Noble,6789,727,41.5256,-85.3667
Pottawattamie,5539,152,41.4516,-95.6175
Prince George's,467518,16648,39.0603,-76.8456
Hudson,841759,45285,40.7927,-74.0048
Monmouth,369084,21776,40.2324,-74.2943
Union,765542,41974,30.0638,-82.2390
Cuyahoga,154601,7339,41.4094,-81.5625
Monroe,226151,13916,43.8132,-90.5268
Collin,49965,1297,33.2016,-96.6669
Virginia Beach city,26375,776,33.2016,-96.6669
San Joaquin,34990,1591,38.1218,-121.2933
Ventura,38976,1216,34.2819,-119.1452
Gunnison,9933,285,38.6086,-106.5164
Alachua,17397,221,29.5060,-82.2806
Collier,46578,1445,26.0889,-81.7031
Pasco,16190,454,28.1830,-82.1539
Pinellas,50252,2686,27.9087,-82.7162
Charlton,933,24,30.8392,-82.0073
Kane,160900,4750,41.7637,-88.2901
McHenry,48163,2435,48.4977,-100.6098
Adams,142004,5398,46.7735,-118.8277
Boone,44871,2419,37.9963,-81.8202
Orleans,408149,25713,30.0687,-89.9288
Essex,1341221,97699,40.8428,-74.2014
Oakland,428265,41514,42.7827,-83.2456
Anoka,30432,1438,45.0484,-93.2472
Burlington,170801,9103,39.9016,-74.9297
Multnomah,45403,2497,45.5358,-122.4205
Philadelphia,886071,42230,40.0077,-75.1339
Beadle,3670,131,44.4338,-97.9885
Charles Mix,435,1,43.1559,-98.5362
Davison,465,88,43.7127,-98.2609
Minnehaha,126284,1270,43.5511,-96.6354
Sullivan,59502,1144,43.3790,-72.3368
Dallas,340156,7791,32.6530,-96.5455
Tarrant,173295,5014,32.8605,-97.2180
Weber,10478,151,41.1717,-112.0480
Loudoun,64558,1565,39.1319,-77.7681
Skagit,21104,702,48.4878,-122.6292
Whatcom,20196,1843,48.9230,-122.7543
Stanislaus,24589,874,37.6374,-121.0028
Pitkin,3690,144,39.2203,-106.9393
New Castle,124134,4934,39.8056,-75.4862
Miami-Dade,756997,23186,25.8787,-80.1250
St. Johns,13325,262,30.1900,-81.3704
Bartow,21422,1733,34.3702,-84.9214
Lowndes,20596,685,32.1801,-86.6888
Lake,428297,16565,29.1635,-81.5349
Howard,76338,2443,32.2795,-101.3496
St. Joseph,45561,1502,41.6736,-86.1669
Caddo,104980,7081,32.6091,-93.8841
Baltimore,200450,9494,39.4240,-76.6177
Olmsted,20223,402,43.8606,-92.4896
Forrest,16957,998,31.3074,-89.3170
Bernalillo,54851,2475,35.0609,-106.4587
Santa Fe,6687,71,35.8464,-105.9948
Socorro,2270,129,34.2183,-106.9151
Ward,1740,53,31.4616,-103.3955
Stark,28222,3185,46.8841,-102.3332
Deschutes,5265,1,44.2614,-121.2995
Linn,45570,3282,42.1494,-91.6209
Umatilla,3811,71,45.9760,-118.5010
Bucks,192317,15483,40.5965,-75.1987
Lancaster,148189,10962,40.6818,-96.5039
Bon Homme,294,1,42.7822,-97.9816
Gregg,6814,73,32.5426,-94.9465
Chittenden,25737,1863,44.4877,-73.2314
Arlington,68148,3027,38.8786,-77.1011
Island,11357,558,48.1865,-122.4708
Thurston,7792,65,46.8537,-122.8607
Fond du Lac,6405,213,43.8377,-88.3465
Waukesha,23979,1078,43.1229,-88.3838
Sheridan,1133,1,44.9488,-107.3077
Anchorage,11123,250,61.1508,-149.1091
Pulaski,43135,1427,36.9342,-80.7255
Tulare,55827,2601,36.3790,-119.0312
Litchfield,57043,4946,41.7457,-73.1893
Clay,44593,2304,38.4662,-81.0814
Duval,66052,1631,30.3165,-81.4118
Palm Beach,209009,12189,26.6815,-80.1265
Sarasota,24467,2676,27.3328,-82.4616
Seminole,26104,665,28.7893,-81.2760
Carroll,68067,4573,44.0524,-71.1247
Wyandotte,50359,3186,39.1234,-94.7443
Androscoggin,6248,89,44.0086,-70.0570
Ingham,29838,829,42.5558,-84.3030
Kent,200764,6238,38.8699,-75.5790
Montcalm,2551,58,43.2928,-85.0789
St. Clair,60654,3933,33.5609,-86.2668
Washtenaw,65978,3771,42.2755,-83.7312
Dakota,79515,1470,42.4507,-96.5790
Hennepin,196745,17280,44.9394,-93.5891
Stearns,52285,274,45.4650,-94.3222
Greene,40100,2175,35.4505,-77.6768
Cass,111776,2081,33.1378,-94.0591
Carson City,3095,94,39.1511,-119.7474
Morris,307148,24495,40.7966,-74.4772
Albany,72863,4641,41.3099,-105.6085
Dutchess,177474,5188,41.6191,-73.7944
Herkimer,4234,79,43.1859,-75.0151
Cabarrus,18072,747,35.4764,-80.6403
Forsyth,45961,878,36.2587,-80.2360
Johnston,12258,829,35.4669,-78.1612
Mecklenburg,131374,3482,35.0864,-80.8915
Onslow,3393,95,34.7498,-77.3209
Trumbull,21194,1762,41.3421,-80.5277
Clackamas,13667,445,45.4239,-122.4470
Northampton,138546,7344,36.4965,-77.6448
Pike,40281,1465,41.3666,-74.6997
Knox,22826,334,33.4680,-99.5236
Alexandria city,57768,1345,33.4680,-99.5236
Hanover,9217,672,37.7668,-77.3706
James City,10701,716,37.7668,-77.3706
Prince Edward,3468,97,37.2959,-78.4002
Prince William,142980,2483,38.6473,-77.3459
Columbia,47160,2699,46.3168,-117.9769
Grays Harbor,782,1,46.8304,-124.0898
Yakima,102811,3306,46.7026,-120.7560
Elmore,10184,283,32.6314,-86.3268
Limestone,4352,61,31.3070,-96.6293
Tuscaloosa,18125,278,33.2302,-87.4827
San Benito,3458,140,36.8457,-121.5384
Clear Creek,849,44,39.7241,-105.4306
Pueblo,9608,606,38.2351,-104.3434
Routt,3310,246,40.2738,-106.9574
Summit,77184,4581,39.5817,-105.8681
Weld,103906,5638,40.8691,-104.2259
Osceola,32746,662,28.3349,-81.3539
Gordon,6021,667,34.4379,-84.6999
Henry,46068,1226,36.2933,-88.3065
Ada,42237,975,43.7223,-116.3861
Butler,57426,1696,41.1983,-97.2974
St. Charles,67428,4398,29.9986,-90.4036
St. Tammany,78709,6364,30.3687,-89.7495
Terrebonne,27362,1930,29.3864,-90.7081
Cumberland,147625,5336,39.3265,-75.0306
Anne Arundel,121939,5662,39.1457,-76.7745
Charles,37981,2523,38.2646,-76.8496
Bay,14163,670,30.2549,-85.9511
Charlevoix,825,52,45.2719,-84.9413
Leelanau,515,1,44.8960,-85.9900
Macomb,320970,33806,42.5809,-83.0305
Wright,8958,57,42.6593,-93.5012
Copiah,8294,97,31.9903,-90.3540
Leflore,9295,993,33.5173,-90.3444
Pearl River,9717,1097,30.5740,-89.6419
Gallatin,9721,53,37.9025,-88.1279
Lewis and Clark,1076,1,46.7289,-112.0627
Silver Bow,761,1,46.0366,-112.5396
Yellowstone,4918,90,46.0988,-108.8789
Ocean,386561,25737,40.0384,-74.1678
Schenectady,28559,1335,42.8614,-73.9206
Oklahoma,50656,2218,35.5706,-97.5567
Chester,96619,8161,35.4445,-88.6531
McCook,270,56,43.5978,-97.2926
Hamilton,164844,9675,30.3317,-82.7562
Rutherford,44435,1078,35.3624,-81.8360
Bell,12374,187,31.0525,-97.4790
Galveston,36070,1399,29.4128,-94.9658
Smith,15624,566,32.2222,-95.2217
Travis,112798,3072,30.4088,-98.0451
Harrisonburg city,26642,758,30.4088,-98.0451
Grant,28375,1451,47.1949,-119.3186
Milwaukee,232645,11429,42.9370,-88.0018
Racine,39087,896,42.8088,-88.2150
Sheboygan,3535,144,43.6766,-87.9478
Fremont,10347,210,43.0069,-108.9205
Baldwin,23720,931,30.2758,-87.7014
Graham,933,13,35.4328,-83.8248
San Luis Obispo,12330,61,35.7309,-120.8702
Boulder,38112,2350,40.0726,-105.5136
Mesa,2748,1,39.0877,-108.5673
Hartford,364287,42254,41.5832,-72.8915
New Haven,450362,32884,41.3265,-73.0833
Coweta,14336,290,33.3260,-84.6371
Kauai,1346,2,22.2186,-159.5610
Blaine,31376,310,41.8272,-100.1046
Teton,6154,42,43.7737,-111.0312
DuPage,238774,11841,41.7635,-87.9456
Sangamon,11844,946,39.7577,-89.9026
Woodford,2019,58,40.7406,-89.0181
LaPorte,14467,625,41.7563,-86.8181
Wells,796,1,47.7926,-99.6528
Franklin,305764,13003,46.5737,-119.0013
Bourbon,918,137,37.8365,-94.8820
Nelson,2072,5,48.0132,-98.0004
Bossier,17991,1011,32.5606,-93.5625
Lafourche,38838,2697,29.5164,-90.3291
St. John the Baptist,44467,3912,29.9205,-90.6458
Barnstable,55986,3469,41.6012,-70.6364
Bristol,247685,12541,36.6179,-82.1607
Renville,312,1,48.8683,-101.5678
Missoula,2328,62,47.0326,-114.3397
Mercer,263328,15803,37.3688,-81.0961
Sandoval,23920,921,35.2366,-106.6191
Broome,19306,1388,42.1716,-75.8586
Tioga,5586,612,42.2149,-76.4960
Tompkins,8376,105,42.4113,-76.4883
Brunswick,4213,200,34.2830,-78.0290
Craven,4663,195,35.2155,-77.4337
Harnett,9954,674,35.3999,-78.8140
Belmont,12221,407,40.0105,-80.8814
Lorain,27329,2036,41.2665,-82.3040
Tuscarawas,9239,52,40.2761,-81.5949
Allegheny,82690,5768,40.4170,-80.0544
Beaufort,18076,608,35.3030,-76.7889
Lexington,24157,1104,37.7825,-79.4440
Campbell,8937,541,44.2752,-105.4984
Brazoria,33727,411,29.0455,-95.5673
Hays,11374,107,30.0392,-97.8915
Windsor,2660,134,43.3300,-72.5262
Chesterfield,46228,1210,37.3273,-77.3194
Spotsylvania,13144,186,38.3036,-77.7276
Klickitat,1212,164,45.6599,-120.9698
