fips,county,state,deaths,cases
1001.0,Autauga,Alabama,380,15544
1003.0,Baldwin,Alabama,552,22783
1005.0,Barbour,Alabama,63,10487
1007.0,Bibb,Alabama,54,5724
1009.0,Blount,Alabama,45,5734
1011.0,Bullock,Alabama,313,11163
1013.0,Butler,Alabama,989,24130
1015.0,Calhoun,Alabama,246,12156
1017.0,Chambers,Alabama,1841,30475
1019.0,Cherokee,Alabama,177,2704
1021.0,Chilton,Alabama,108,7933
1023.0,Choctaw,Alabama,421,8671
1025.0,Clarke,Alabama,164,8913
1027.0,Clay,Alabama,117,2209
1029.0,Cleburne,Alabama,73,1381
1031.0,Coffee,Alabama,54,15487
1033.0,Colbert,Alabama,226,11546
1035.0,Conecuh,Alabama,59,3916
1037.0,Coosa,Alabama,79,2985
1039.0,Covington,Alabama,101,7715
1041.0,Crenshaw,Alabama,128,4891
1043.0,Cullman,Alabama,63,11600
1045.0,Dale,Alabama,0,7714
1047.0,Dallas,Alabama,297,20685
1049.0,DeKalb,Alabama,238,17664
1051.0,Elmore,Alabama,498,25088
1053.0,Escambia,Alabama,225,5535
1055.0,Etowah,Alabama,868,19918
1057.0,Fayette,Alabama,13,1706
1059.0,Franklin,Alabama,410,32156
1061.0,Geneva,Alabama,0,2281
1063.0,Greene,Alabama,263,7084
1065.0,Hale,Alabama,556,10747
1067.0,Henry,Alabama,124,4925
1069.0,Houston,Alabama,335,15560
1071.0,Jackson,Alabama,210,6976
1073.0,Jefferson,Alabama,6523,143210
1075.0,Lamar,Alabama,8,2092
1077.0,Lauderdale,Alabama,252,11926
1079.0,Lawrence,Alabama,0,3343
1081.0,Lee,Alabama,2394,45868
1083.0,Limestone,Alabama,0,10069
1085.0,Lowndes,Alabama,691,16071
1087.0,Macon,Alabama,282,6096
1089.0,Madison,Alabama,388,32842
1091.0,Marengo,Alabama,461,10647
1093.0,Marion,Alabama,740,9398
1095.0,Marshall,Alabama,617,51593
1097.0,Mobile,Alabama,7532,153268
1099.0,Monroe,Alabama,133,4576
1101.0,Montgomery,Alabama,2895,117617
1103.0,Morgan,Alabama,74,24055
1105.0,Perry,Alabama,0,3168
1107.0,Pickens,Alabama,275,7821
1109.0,Pike,Alabama,71,14136
1111.0,Randolph,Alabama,531,8891
1113.0,Russell,Alabama,0,13327
1115.0,St. Clair,Alabama,82,10079
1117.0,Shelby,Alabama,1366,41455
1119.0,Sumter,Alabama,470,12977
1121.0,Talladega,Alabama,264,8872
1123.0,Tallapoosa,Alabama,3820,30154
1125.0,Tuscaloosa,Alabama,1047,56835
1127.0,Walker,Alabama,237,25618
1129.0,Washington,Alabama,339,4873
1131.0,Wilcox,Alabama,404,10665
1133.0,Winston,Alabama,35,5887
2013.0,Aleutians East Borough,Alaska,0,38
2016.0,Aleutians West Census Area,Alaska,0,101
2020.0,Anchorage,Alaska,402,21196
2050.0,Bethel Census Area,Alaska,0,253
