fips,county,Lat,Long
53061,Snohomish,48.0639,-122.092
17031,Cook,42.1347,-87.7641
6059,Orange,33.8002,-117.9935
4013,Maricopa,33.3858,-112.3236
6037,Los Angeles,33.9716,-117.8911
6085,Santa Clara,37.434,-121.8921
25025,Suffolk,42.3188,-71.0846
6075,San Francisco,37.7562,-122.443
55025,Dane,43.054,-89.3334
6073,San Diego,32.8439,-116.7585
48029,Bexar,29.5545,-98.3404
31055,Douglas,41.239,-96.3526
6023,Humboldt,40.3987,-123.9474
6067,Sacramento,38.574,-121.2523
6095,Solano,38.1133,-122.2359
53063,Spokane,47.4513,-117.1307
49035,Salt Lake,40.4743,-111.9383
6041,Marin,38.2436,-122.956
6055,Napa,38.5063,-122.4682
6097,Sonoma,38.7173,-122.9034
41067,Washington,45.5272,-122.936
53033,King,47.4122,-122.4726
6001,Alameda,37.6861,-121.7608
12057,Hillsborough,27.7065,-82.4209
12081,Manatee,27.5107,-82.7152
6061,Placer,39.2138,-120.8033
6081,San Mateo,37.586,-122.3669
13121,Fulton,33.6609,-84.4093
25021,Norfolk,42.1648,-71.3544
33009,Grafton,44.0364,-71.6895
53071,Walla Walla,46.1991,-118.9728
6013,Contra Costa,37.9722,-122.0016
37183,Wake,35.8366,-78.8348
34003,Bergen,40.8247,-74.0613
36119,Westchester,40.9469,-73.7316
48157,Fort Bend,29.546,-95.822
53007,Chelan,47.5175,-120.4671
8035,Douglas,39.5357,-104.8032
8059,Jefferson,39.7406,-105.2118
12113,Santa Rosa,30.7826,-87.2309
24031,Montgomery,39.036,-77.0934
25017,Middlesex,42.4518,-71.4035
32003,Clark,36.0146,-115.0362
32031,Washoe,40.6451,-119.3614
36059,Nassau,40.799,-73.6491
47187,Williamson,35.9216,-86.8525
48201,Harris,29.8671,-95.0537
4021,Pinal,33.1427,-111.7853
6113,Yolo,38.8926,-121.9741
8031,Denver,39.7621,-104.8759
8037,Eagle,39.6386,-106.3608
8041,El Paso,39.0453,-104.8288
12011,Broward,26.1593,-80.1395
12071,Lee,26.7123,-81.8684
13233,Polk,34.0225,-85.248
15003,Honolulu,21.4921,-157.8721
18097,Marion,39.8325,-86.2002
21067,Fayette,38.0423,-84.4587
27123,Ramsey,44.984,-93.0247
34007,Camden,39.8969,-75.089
36087,Rockland,41.1213,-74.0685
37037,Chatham,35.6239,-79.0768
40143,Tulsa|Okmulgee,35.8602,-95.9753
42045,Delaware,39.8926,-75.4698
42127,Wayne,41.3957,-75.2731
45019,Charleston,32.7768,-80.2272
45055,Kershaw,34.4143,-80.3487
49011,Davis,40.9846,-111.9064
49053,Washington,37.2373,-113.3471
53011,Clark,45.9122,-122.4795
53031,Jefferson,47.9101,-122.7006
53053,Pierce,46.9994,-122.3921
6019,Fresno,36.5399,-119.845
6039,Madera,36.964,-120.0803
6065,Riverside,33.9797,-116.9694
6087,Santa Cruz,37.0555,-122.0118
11001,District of Columbia,38.9047,-77.0163
12015,Charlotte,26.9226,-82.3537
12091,Okaloosa,30.4127,-86.6588
12127,Volusia,28.8815,-81.324
13067,Cobb,33.866,-84.6839
13135,Gwinnett|Hall,34.1354,-83.9763
20091,Johnson,39.0141,-94.6172
25003,Berkshire,42.6844,-73.1166
29189,St. Louis,38.5242,-90.3365
33015,Rockingham,42.885,-70.8234
36091,Saratoga,42.9468,-73.6441
41029,Jackson,42.3845,-123.1408
41035,Klamath,42.4419,-121.2716
42091,Montgomery,40.1873,-75.4581
50003,Bennington,42.8848,-73.2143
51059,Fairfax,38.7773,-77.2633
53037,Kittitas,47.2507,-121.0989
9001,Fairfield,41.1144,-73.4215
13057,Cherokee,34.1026,-84.5085
18063,Hendricks,39.8329,-86.3824
19103,Johnson,41.7067,-91.6582
21097,Harrison,38.5206,-84.3836
21111,Jefferson,38.205,-85.727
24025,Harford,39.4861,-76.3908
25027,Worcester|Middlesex,42.5438,-71.6147
27019,Carver,44.8634,-93.6586
34031,Passaic,40.9628,-74.1844
36103,Suffolk,40.933,-72.4047
36111,Ulster,41.6655,-74.3912
41019,Douglas,43.0227,-123.2811
41047,Marion,45.2286,-122.7572
45083,Spartanburg,34.6439,-81.8584
47037,Davidson,36.0652,-86.8403
47157,Shelby,35.2594,-89.668
53035,Kitsap,47.5508,-122.6655
4019,Pima,32.0596,-111.2865
6089,Shasta,40.8005,-121.9375
8005,Arapahoe,39.5993,-105.035
8069,Larimer,40.8071,-105.5864
13089,DeKalb,33.8842,-84.3008
13113,Fayette,33.2925,-84.4588
13115,Floyd,34.2662,-85.1862
18113,Noble|LaGrange,41.5256,-85.3667
19155,Pottawattamie,41.4516,-95.6175
22051,Jefferson,29.9072,-90.1933
24033,Prince George's,39.0603,-76.8456
34017,Hudson,40.7927,-74.0048
34025,Monmouth,40.2324,-74.2943
34039,Union,40.6657,-74.1912
39035,Cuyahoga,41.4094,-81.5625
42089,Monroe,40.8998,-75.3179
48085,Collin,33.2016,-96.6669
51810,Virginia Beach,36.7335,-76.0435
55093,Pierce|St. Croix,44.8608,-92.6244
6077,San Joaquin,38.1218,-121.2933
6111,Ventura,34.2819,-119.1452
8051,Gunnison,38.6086,-106.5164
12001,Alachua,29.506,-82.2806
12021,Collier,26.0889,-81.7031
12089,Nassau,30.658,-81.4504
12101,Pasco,28.183,-82.1539
12103,Pinellas,27.9087,-82.7162
13049,Charlton,30.8392,-82.0073
17089,Kane|DuPage|Will|Kendall,41.7637,-88.2901
17111,McHenry,42.4028,-88.2117
18001,Adams,40.5975,-84.9569
18011,Boone,39.999,-86.2921
22071,Orleans,30.0687,-89.9288
25009,Essex,42.5335,-70.9724
26125,Oakland,42.7827,-83.2456
26163,Wayne,42.1395,-83.193
27003,Anoka,45.0484,-93.2472
34005,Burlington,39.9016,-74.9297
41051,Multnomah,45.5358,-122.4205
42101,Philadelphia,40.0077,-75.1339
46005,Beadle,44.4338,-97.9885
46023,Charles Mix,43.1559,-98.5362
46035,Davison,43.7127,-98.2609
46099,Minnehaha,43.5511,-96.6354
47163,Sullivan,36.4586,-82.277
48113,Dallas|Kaufman,32.653,-96.5455
48339,Montgomery,30.1811,-95.155
48439,Tarrant,32.8605,-97.218
49057,Weber,41.1717,-112.048
51107,Loudoun,39.1319,-77.7681
53057,Skagit,48.4878,-122.6292
53073,Whatcom,48.923,-122.7543
5069,Jefferson,34.4429,-92.1843
6099,Stanislaus,37.6374,-121.0028
8097,Pitkin,39.2203,-106.9393
10003,New Castle,39.8056,-75.4862
12086,Miami-Dade,25.8787,-80.125
12109,St. Johns,30.19,-81.3704
13015,Bartow,34.3702,-84.9214
13177,Lee,31.7325,-84.1687
13185,Lowndes,30.9941,-83.3787
17097,Lake,42.379,-88.0811
18067,Howard,40.4765,-85.9625
